original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
1720201,172020101,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Municipal Advisor - GO,8/1/2017,7/31/2018,303,0.00,0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1520434,152043402,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC/DC GO/OTB,12/15/2016,12/14/2017,74,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1620441,162044101,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2017,5/31/2018,242,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1720658,172065801,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC Water and DC PGW,1/1/2017,12/31/2017,91,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1520439,152043902,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,DC GF,12/15/2016,12/14/2017,74,0.00,0.00,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",01,ADVERTISED,For Profit
1520435,152043502,CITY TREASURER,Ballard Spahr LLP,Legal Services,BC/DC GF,12/15/2016,12/14/2017,74,0.00,0.00,Ballard Spahr LLP,01,ADVERTISED,For Profit
1720643,1720643,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel Water,1/1/2017,12/31/2017,91,200000.00,0.00,Ballard Spahr LLP,01,ADVERTISED,For Profit
1520302,152030202,CITY TREASURER,"BlackRock Capital Management, Inc.",Investment Advisor-Manager,Investment Manager,1/1/2017,12/31/2017,91,0.00,0.00,"BlackRock Capital Management, Inc.",01,ADVERTISED,For Profit
1520438,152043802,CITY TREASURER,Cozen O'Connor,Legal Services,BC DC GF,12/15/2016,12/14/2017,74,0.00,0.00,Cozen O'Connor,01,ADVERTISED,For Profit
1520492,152049202,CITY TREASURER,Digital Assurance Certification,General Consultant Services,Dissemination Agent,1/1/2017,12/31/2017,91,16000.00,0.00,Digital Assurance Certification,01,ADVERTISED,For Profit
1520341,152034102,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Consel - Airport,8/1/2016,7/31/2017,0,15000.00,0.00,Dilworth Paxson LLP,01,ADVERTISED,For Profit
1620440,162044001,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Legal Services - TRAN,6/1/2017,5/31/2018,242,0.00,0.00,Dilworth Paxson LLP,01,ADVERTISED,For Profit
1420440,142044004,CITY TREASURER,"ECOUNT, INC",General Consultant Services,Paycard Services,6/1/2017,5/31/2018,242,0.00,0.00,Citibank N.A.,01,ADVERTISED,For Profit
1520453,152045302,CITY TREASURER,"EConsult Solutions, Inc",General Consultant Services,Authorized Depositories,12/15/2016,12/14/2017,74,47615.00,46895.00,"EConsult Solutions, Inc",01,ADVERTISED,For Profit
1520437,152043702,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,GO OTB GO DC,12/15/2016,12/14/2017,74,0.00,0.00,"Eckert Seamans Cherin & Mellott, LLC",01,ADVERTISED,For Profit
1720650,1720650,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond Counsel PGW,1/1/2017,12/31/2017,91,0.00,0.00,"Eckert Seamans Cherin & Mellott, LLC",01,ADVERTISED,For Profit
1620377,162037701,CITY TREASURER,"Estrada Hinojosa & Company, Inc.",General Consultant Services,Water Financial Advisor,1/1/2017,12/31/2017,91,0.00,0.00,"Estrada Hinojosa & Company, Inc.",01,ADVERTISED,For Profit
1520249,152024902,CITY TREASURER,"Frasca & Associates, LLC",General Consultant Services,Airport FA,8/1/2016,7/31/2017,0,50000.00,0.00,"Frasca & Associates, LLC",01,ADVERTISED,For Profit
1520249,152024903,CITY TREASURER,"Frasca & Associates, LLC",General Consultant Services,Airport FA,8/1/2017,7/31/2018,303,50000.00,0.00,"Frasca & Associates, LLC",01,ADVERTISED,For Profit
1720655,1720655,CITY TREASURER,"Greenberg Traurig, LLP",Legal Services,Disclosure Counsel Water,1/1/2017,12/31/2017,91,100000.00,0.00,"Greenberg Traurig, LLP",01,ADVERTISED,For Profit
1520450,152045002,CITY TREASURER,Hawkins Delafield & Wood LLP,Legal Services,GF Disclosure Cousnel,12/15/2016,12/14/2017,74,0.00,0.00,Hawkins Delafield & Wood LLP,01,ADVERTISED,For Profit
1620520,162052001,CITY TREASURER,Hawkins Delafield & Wood LLP,General Consultant Services,Arbitrage Services,6/15/2017,6/14/2018,256,0.00,0.00,Hawkins Delafield & Wood LLP,01,ADVERTISED,For Profit
1520343,152034302,CITY TREASURER,Kutak Rock LLP,Legal Services,Bond Counsel - Airport,8/1/2016,7/31/2017,0,75000.00,0.00,Kutak Rock LLP,01,ADVERTISED,For Profit
1520343,152034303,CITY TREASURER,Kutak Rock LLP,Legal Services,Bond Counsel - Airport,8/1/2017,7/31/2018,303,75000.00,0.00,Kutak Rock LLP,01,ADVERTISED,For Profit
1520261,152026102,CITY TREASURER,"PFM Asset Management, LLC",Investment Advisor-Manager,Investment advisor,1/1/2017,12/31/2017,91,0.00,0.00,"PFM Asset Management, LLC",01,ADVERTISED,For Profit
1420484,142048404,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,PGW FA,1/1/2017,12/31/2017,91,0.00,0.00,Public Financial Management Inc,01,ADVERTISED,For Profit
1520250,152025003,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,Airport FA,8/1/2016,7/31/2017,0,50000.00,0.00,Public Financial Management Inc,01,ADVERTISED,For Profit
1520250,152025004,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,Airport FA,8/1/2017,7/31/2018,303,50000.00,0.00,Public Financial Management Inc,01,ADVERTISED,For Profit
1620364,162036402,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,Water FA,1/1/2017,12/31/2017,91,150000.00,0.00,Public Financial Management Inc,01,ADVERTISED,For Profit
1720216,172021601,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,Municipal Advisor GO-OTB,8/1/2016,7/31/2017,0,0.00,0.00,Public Financial Management Inc,01,ADVERTISED,For Profit
1720216,172021602,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,GO FA,8/1/2017,7/31/2018,303,0.00,0.00,Public Financial Management Inc,01,ADVERTISED,For Profit
1520430,152043002,CITY TREASURER,"PNC Capital Advisors, LLC",Investment Advisor-Manager,Investment Advisor,1/1/2017,12/31/2017,91,0.00,0.00,"PNC Capital Advisors, LLC",01,ADVERTISED,For Profit
1420485,142048503,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,FA PGW,1/1/2017,12/31/2017,91,0.00,0.00,"Phoenix Capital Partners, LLP",01,ADVERTISED,For Profit
1720215,1720215,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Municipal Advisor GO-OTB,8/1/2016,7/31/2017,0,0.00,0.00,"Phoenix Capital Partners, LLP",01,ADVERTISED,For Profit
1720215,172021501,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Municipal Advisor - GO,8/1/2017,7/31/2018,303,0.00,0.00,"Phoenix Capital Partners, LLP",01,ADVERTISED,For Profit
1520256,152025602,CITY TREASURER,"RBC Global Asset Management (U.S.), Inc",Investment Advisor-Manager,Investment manager,1/1/2017,12/31/2017,91,0.00,0.00,"RBC Global Asset Management (U.S.), Inc",01,ADVERTISED,For Profit
1520257,152025702,CITY TREASURER,"Ramirez Asset Management, Inc.",Investment Advisor-Manager,Investment Manager,6/29/2017,6/28/2018,270,0.00,0.00,"Ramirez Asset Management, Inc.",01,ADVERTISED,For Profit
1520340,152034002,CITY TREASURER,Saul Ewing LLP,Legal Services,Counsel - Airport,8/1/2016,7/31/2017,0,100000.00,66947.70,Saul Ewing LLP,01,ADVERTISED,For Profit
1720651,1720651,CITY TREASURER,Saul Ewing LLP,Legal Services,Backup DC PGW,1/1/2017,12/31/2017,91,0.00,0.00,Saul Ewing LLP,01,ADVERTISED,For Profit
1620228,162022801,CITY TREASURER,Standish Mellon Asset Management Company LLC,Investment Advisor-Manager,Investment advisor,11/1/2016,10/31/2017,30,0.00,0.00,Standish Mellon Asset Management Company LLC,01,ADVERTISED,For Profit
1720624,1720624,CITY TREASURER,"Swap Financial Group, LLC",General Consultant Services,Swap Advisory Services,1/1/2017,12/31/2017,91,48000.00,20000.00,"Swap Financial Group, LLC",01,ADVERTISED,For Profit
1520258,152025802,CITY TREASURER,The Swarthmore Group,Investment Advisor-Manager,Investment Manager,1/1/2017,12/31/2017,91,0.00,0.00,The Swarthmore Group,01,ADVERTISED,For Profit
1520339,152033902,CITY TREASURER,"Turner Law, P.C.",Legal Services,Counsel - Airport,8/1/2016,7/31/2017,0,20000.00,0.00,"Turner Law, P.C.",01,ADVERTISED,For Profit
1520339,152033903,CITY TREASURER,"Turner Law, P.C.",Legal Services,Bond Counsel - Airport,8/1/2017,7/31/2018,303,20000.00,0.00,"Turner Law, P.C.",01,ADVERTISED,For Profit
1520436,152043602,CITY TREASURER,"Turner Law, P.C.",Legal Services,BC DC GO OTB,12/15/2016,12/14/2017,74,0.00,0.00,"Turner Law, P.C.",01,ADVERTISED,For Profit
1720656,1720656,CITY TREASURER,"Turner Law, P.C.",Legal Services,BC - PGW and DC - Water,1/1/2017,12/31/2017,91,0.00,0.00,"Turner Law, P.C.",01,ADVERTISED,For Profit
1420533,142053303,CITY TREASURER,US Bank National Association,General Consultant Services,Custody - Commer Bank Svc,6/30/2017,6/29/2018,271,0.00,0.00,US Bank National Association,01,ADVERTISED,For Profit
1520259,152025902,CITY TREASURER,"Wells Capital Management, Inc",Investment Advisor-Manager,Investment manager,1/1/2017,12/31/2017,91,0.00,0.00,"Wells Capital Management, Inc",01,ADVERTISED,For Profit
1420316,142031605,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,AMENDMENT TWO-ADD'L FUND,10/1/2016,9/30/2017,0,250000.00,213259.42,"AECOM Technical Services, Inc.",01,ADVERTISED,For Profit
1620015,162001503,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL TWO,7/1/2017,6/30/2018,272,511000.00,0.00,"AECOM Technical Services, Inc.",01,ADVERTISED,For Profit
1720006,172000602,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE,7/1/2017,6/30/2018,272,3000000.00,0.00,"AECOM Technical Services, Inc.",01,ADVERTISED,For Profit
MPXX18000042,MPXX18000042,COMMERCE,ARW Events,Miscellaneous Order,ENTERTAINMENT SERVICES,7/1/2017,6/30/2018,272,32000.00,15525.00,ARW Events,102,EXEMPT,For Profit
1520009,152000905,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,RENEWAL THREE,7/1/2017,6/30/2018,272,1800000.00,218053.53,"AVK Consulting, Inc.",01,ADVERTISED,For Profit
1720418,1720418,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,AIRPORT SPACE PLANNING,12/1/2016,11/30/2017,60,100000.00,36360.00,"AVK Consulting, Inc.",01,ADVERTISED,For Profit
MPXX18000057,MPXX18000057,COMMERCE,"All Fitness Events, LLC",Miscellaneous Order,5K RUN/WALK,7/1/2017,6/30/2018,272,15300.00,14175.00,"All Fitness Events, LLC",102,EXEMPT,For Profit
1720114,172011401,COMMERCE,Allegheny West Foundation,Housing & Economic Development,Amendment 01,5/1/2017,6/30/2018,272,80000.00,0.00,Allegheny West Foundation,01,ADVERTISED,Non Profit
MPXX18000091,MPXX18000091,COMMERCE,American Association of Airport Executives,Miscellaneous Order,AAAE Testing,7/14/2017,6/30/2018,272,32000.00,0.00,American Association of Airport Executives,102,EXEMPT,For Profit
1720319,172031901,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,AMENDMENT ONE-ADD'L FUND,10/1/2016,9/30/2017,0,1400000.00,502344.75,"Atkins North America, Inc.",01,ADVERTISED,For Profit
1720777,1720777,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,PHL CIVIL ENGINEERING,6/1/2017,5/31/2018,242,1500000.00,0.00,"Atkins North America, Inc.",01,ADVERTISED,For Profit
1520526,152052602,COMMERCE,"Audio Visual Communications, Inc.",General Consultant Services,RENEWAL TWO,4/1/2017,3/31/2018,181,25000.00,23543.00,"Audio Visual Communications, Inc.",01,ADVERTISED,For Profit
MPXX18000053,MPXX18000053,COMMERCE,"Be Films, LLC d/b/a Five Story Media",Miscellaneous Order,VIDEO PRODUCTION,7/1/2017,6/30/2018,272,32000.00,1000.00,"Be Films, LLC d/b/a Five Story Media",102,EXEMPT,For Profit
1720588,1720588,COMMERCE,"Borski Associates, LLC",General Consultant Services,FEDERAL LOBBYING,12/1/2016,11/30/2017,60,120000.00,20000.00,"Borski Associates, LLC",01,ADVERTISED,For Profit
1420314,142031403,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL THREE,10/1/2016,9/30/2017,0,250000.00,166566.51,"Burns Engineering, Inc.",01,ADVERTISED,For Profit
1720541,1720541,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,PHL RFP ON CALL MEP,1/1/2017,12/31/2017,91,1500000.00,714005.02,"Burns Engineering, Inc.",01,ADVERTISED,For Profit
1620016,162001605,COMMERCE,"C&S Engineers, Inc.",Architect and Engineer Svcs,AMEND THREE-ADD SUB,7/1/2016,6/30/2018,272,400000.00,186792.87,"C&S Engineers, Inc.",01,ADVERTISED,For Profit
1620016,162001605,COMMERCE,"C&S Engineers, Inc.",Architect and Engineer Svcs,AMEND THREE-ADD SUB,7/1/2017,6/30/2018,272,200000.00,0.00,"C&S Engineers, Inc.",01,ADVERTISED,For Profit
1520432,152043202,COMMERCE,"CBIZ MHM, LLC",Accounting and Auditing Svcs,RENEWAL TWO,12/1/2016,11/30/2017,60,100000.00,0.00,"CBIZ MHM, LLC",01,ADVERTISED,For Profit
1620156,162015603,COMMERCE,"CDA& I Architecture and Interiors, LTD",Architect and Engineer Svcs,AMENDMENT TWO-ADD'L FUNDS,12/1/2016,11/30/2017,60,547200.00,238856.08,"CDA& I Architecture and Interiors, LTD",01,ADVERTISED,For Profit
1320426,132042606,COMMERCE,"CLEAN RENTAL SVC., INC.",General Consultant Services,AMENDMENT THREE-EXTENSION,3/31/2017,9/30/2017,0,220000.00,67009.90,"CLEAN RENTAL SVC., INC.",01,ADVERTISED,For Profit
1720014,172001404,COMMERCE,"Campbell-Hill Aviation Group, LLC",General Consultant Services,RENEWAL ONE,7/1/2017,6/30/2018,272,500000.00,27659.37,"Campbell-Hill Aviation Group, LLC",01,ADVERTISED,For Profit
1520512,152051202,COMMERCE,Center City District,General Consultant Services,Reading Viaduct,4/1/2017,3/31/2018,181,0.00,0.00,Center City District,08,EXEMPT,Non Profit
1720623,1720623,COMMERCE,"Chambers, Conlon & Hartwell, LLC",General Consultant Services,FEDERAL LOBBYING,1/1/2017,12/31/2017,91,60000.00,30000.00,"Chambers, Conlon & Hartwell, LLC",01,ADVERTISED,For Profit
MPXX18000006,MPXX18000006,COMMERCE,Committee of Seventy,Miscellaneous Order,THE FRANKLIN CHALLENGE,7/1/2017,6/30/2018,272,32000.00,0.00,Committee of Seventy,102,EXEMPT,Non Profit
MPXX18000218,MPXX18000218,COMMERCE,Community Design Collaborative,Miscellaneous Order,Storefront Imp Program,7/1/2017,6/30/2018,272,30000.00,0.00,Community Design Collaborative,102,EXEMPT,Non Profit
1620259,162025902,COMMERCE,Converse Winkler Architecture,Architect and Engineer Svcs,AMEND ONE-ADD'L FUNDS,1/1/2017,12/31/2017,91,800000.00,119026.27,Converse Winkler Architecture,01,ADVERTISED,For Profit
MPXX18000048,MPXX18000048,COMMERCE,"Creative Planning International, Inc d/b/a The Lett Group",Miscellaneous Order,BUSINESS ETIQUETTE,7/1/2017,6/30/2018,272,32000.00,0.00,"Creative Planning International, Inc d/b/a The Lett Group",102,EXEMPT,For Profit
0320600,032060012,COMMERCE,Daroff Design Inc. + DDI Architects PC,Architect and Engineer Svcs,AMENDMENT 12,12/1/2015,11/30/2017,60,1500000.00,890335.85,Daroff Design Inc. + DDI Architects PC,,Prior to 2-1-2006,For Profit
1620516,162051601,COMMERCE,Delaware River Waterfront Corporation,General Consultant Services,Pier 53 to 68,1/1/2017,12/31/2017,91,0.00,0.00,Delaware River Waterfront Corporation,08,EXEMPT,Non Profit
1720736,172073601,COMMERCE,Delaware River Waterfront Corporation,General Consultant Services,Penns Landing imp,7/1/2017,6/30/2018,272,0.00,0.00,Delaware River Waterfront Corporation,08,EXEMPT,Non Profit
MPXX18000162,MPXX18000162,COMMERCE,Drexel University,Miscellaneous Order,Airport Autism Program,7/1/2017,6/30/2018,272,32000.00,0.00,Drexel University,102,EXEMPT,Non Profit
1820111,1820111,COMMERCE,"E. H. Lynn & Associates, LLC",General Consultant Services,REAL ESTATE APPRAISAL,7/1/2017,6/30/2018,272,30000.00,0.00,"E. H. Lynn & Associates, LLC",01,ADVERTISED,For Profit
1620392,162039201,COMMERCE,"EConsult Solutions, Inc",General Consultant Services,Disparity Study,12/15/2016,12/14/2017,74,75000.00,75000.00,"EConsult Solutions, Inc",01,ADVERTISED,For Profit
1620134,162013402,COMMERCE,"ELECTRONIC DATA, INC.",Computer and Information Svcs,AMENDMENT TWO-ADD'L FUNDS,8/1/2015,6/30/2018,272,5050078.00,3018341.44,"ELECTRONIC DATA, INC.",01,ADVERTISED,For Profit
1320180,132018005,COMMERCE,Elliott Lewis Corp.,General Consultant Services,AMENDMENT TWO-TIME EXT,7/1/2017,7/31/2017,0,1240142.22,1626310.23,Elliott Lewis Corp.,01,ADVERTISED,For Profit
1320180,132018006,COMMERCE,Elliott Lewis Corp.,General Consultant Services,AMEND THREE-2 MONTH-FUNDS,8/1/2017,9/30/2017,0,500000.00,0.00,Elliott Lewis Corp.,01,ADVERTISED,For Profit
1420317,142031703,COMMERCE,Elliott Lewis Corp.,Computer and Information Svcs,RENEWAL THREE,10/1/2016,9/30/2017,0,4677797.00,5229120.62,Elliott Lewis Corp.,01,ADVERTISED,For Profit
MPXX18000045,MPXX18000045,COMMERCE,Eventive Productions,Miscellaneous Order,Entertainment Services,7/1/2017,6/30/2018,272,32000.00,4590.00,Eventive Productions,102,EXEMPT,For Profit
1720055,172005501,COMMERCE,FINANTA,Housing & Economic Development,BTAP,7/1/2017,6/30/2018,272,125000.00,0.00,FINANTA,01,ADVERTISED,Non Profit
1720213,172021301,COMMERCE,"Faith Group, LLC",Architect and Engineer Svcs,RENEWAL ONE,7/1/2017,6/30/2018,272,1000000.00,40204.03,"Faith Group, LLC",01,ADVERTISED,For Profit
1120564,112056407,COMMERCE,"First Transit, Inc  (subsidiary of FirstGroup)",General Consultant Services,AMENDMENT FOUR-TIME-FUND,6/1/2017,5/31/2018,242,12157721.00,1899270.05,"First Transit, Inc  (subsidiary of FirstGroup)",01,ADVERTISED,For Profit
MPXX18000011,MPXX18000011,COMMERCE,"Forest Applications Training, Inc.",Miscellaneous Order,Chainsaw & Tree Maint,7/1/2017,6/30/2018,272,10000.00,0.00,"Forest Applications Training, Inc.",102,EXEMPT,For Profit
1720118,172011801,COMMERCE,Frankford Community Development Corporation,Housing & Economic Development,Amendment 01,7/1/2017,6/30/2018,272,142886.00,0.00,Frankford Community Development Corporation,01,ADVERTISED,Non Profit
1520007,152000704,COMMERCE,"Fuseideas, LLC",Computer and Information Svcs,RENEWAL THREE,7/1/2017,6/30/2018,272,160000.00,9573.58,"Fuseideas, LLC",01,ADVERTISED,For Profit
1520386,152038602,COMMERCE,"GRA,  Inc.",General Consultant Services,RENEWAL TWO,1/1/2017,12/31/2017,91,100000.00,1965.00,"GRA,  Inc.",01,ADVERTISED,For Profit
1420415,142041504,COMMERCE,"Gallini Hemmann, Inc.",General Consultant Services,RENEWAL THREE,1/1/2017,12/31/2017,91,39000.00,3600.00,"Gallini Hemmann, Inc.",01,ADVERTISED,For Profit
1420365,142036503,COMMERCE,Gilbane Building Company,Architect and Engineer Svcs,RENEWAL TWO,1/1/2017,12/31/2017,91,769167.00,246286.95,Gilbane Building Company,01,ADVERTISED,For Profit
1220573,122057307,COMMERCE,Global Program Partners,General Consultant Services,AMENDMENT 7-ADD'L FUNDS,5/25/2016,5/24/2020,966,10700000.00,6465763.38,Global Program Partners,01,ADVERTISED,For Profit
1820085,1820085,COMMERCE,"Global Resource Management, Inc.",General Consultant Services,PASSENGER SURVEY CONSULT,7/1/2017,6/30/2018,272,100000.00,0.00,"Global Resource Management, Inc.",01,ADVERTISED,For Profit
MPXX18000049,MPXX18000049,COMMERCE,"Grapevine Visual Concepts, Inc.",Miscellaneous Order,EVENT/TRADE SHOW PLANNING,7/1/2017,6/30/2018,272,32000.00,0.00,"Grapevine Visual Concepts, Inc.",102,EXEMPT,For Profit
1720007,172000701,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL ONE,7/1/2017,6/30/2018,272,2500000.00,301239.43,"HNTB Pennsylvania, Inc.",01,ADVERTISED,For Profit
1720542,1720542,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,PHL RFP ON CALL MEP,1/1/2017,12/31/2017,91,1000000.00,178904.32,"HNTB Pennsylvania, Inc.",01,ADVERTISED,For Profit
1520130,152013003,COMMERCE,"Heffler, Radetich & Saitta LLP",Accounting and Auditing Svcs,RENEWAL THREE,7/1/2017,6/30/2018,272,100000.00,0.00,"Heffler, Radetich & Saitta LLP",01,ADVERTISED,For Profit
1820048,1820048,COMMERCE,"Hill International, Inc.",General Consultant Services,CAPITAL PROGRAM ADMIN,7/1/2017,6/30/2018,272,4800000.00,657786.28,"Hill International, Inc.",01,ADVERTISED,For Profit
1720120,172012001,COMMERCE,Hispanic Assoc of Contractors & Enterprises,Housing & Economic Development,Amendment 01,7/1/2017,6/30/2018,272,130000.00,0.00,Hispanic Assoc of Contractors & Enterprises,01,ADVERTISED,Non Profit
1520387,152038703,COMMERCE,"ICF Resources, LLC",General Consultant Services,AMENDMENT ONE-ADD'L FUND,1/1/2017,12/31/2017,91,200000.00,0.00,"ICF Resources, LLC",01,ADVERTISED,For Profit
MPXX18000007,MPXX18000007,COMMERCE,IMX Medical Management Services,Miscellaneous Order,PHYSICAL ABILITY ASSESMEN,7/1/2017,6/30/2018,272,15000.00,0.00,IMX Medical Management Services,102,EXEMPT,For Profit
1520385,152038503,COMMERCE,"INTERVISTAS CONSULTING, INC.",General Consultant Services,RENEWAL TWO,1/1/2017,12/31/2017,91,200000.00,0.00,InterVISTAS Consulting LLC,01,ADVERTISED,For Profit
1720701,1720701,COMMERCE,Impact Services Corporation,Housing & Economic Development,Planning,3/1/2017,2/28/2018,150,50000.00,0.00,Impact Services Corporation,01,ADVERTISED,Non Profit
MPXX18000046,MPXX18000046,COMMERCE,Influence Entertainment Inc.,Miscellaneous Order,ENTERTAINMENT SERVICES,7/1/2017,6/30/2018,272,32000.00,2600.00,Influence Entertainment Inc.,102,EXEMPT,For Profit
1620157,162015703,COMMERCE,International Visitors Council of Philadelphia,General Consultant Services,Sister City Program,7/1/2017,6/30/2018,272,237000.00,59250.00,International Visitors Council of Philadelphia,01,ADVERTISED,Non Profit
1720318,1720318,COMMERCE,JBC ASSOCIATES INC,Architect and Engineer Svcs,PHL ON CALL PM & CM,9/1/2016,8/31/2017,0,1000000.00,144141.86,JBC ASSOCIATES INC,01,ADVERTISED,For Profit
